10/16 18:15:00.220|EXEC_START  |
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリ, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016181500_na0000mvvv000980e4pnrntip554_error
--/-- --:--:--.---|INFO        |エラーディレクトリ(String) 入力=[/data/MERGE/app/data/WE0502/ERROR/20241016181500_na0000mvvv000980e4pnrntip554_error]
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリ, VALUE=/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502
--/-- --:--:--.---|INFO        |作業用ディレクトリ(String) 入力=[/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502]
10/16 18:15:00.302|END         |
10/16 18:15:00.302|START       |NAME=取込処理実行 
10/16 18:15:00.303|SCRIPT_START|SCRIPT=sub/001_オーダー情報取込処理, PROJECT=【データ連携HUB】WE0502_オーダー情報取込(Biz-FLOW), REPOSITORY=/share/projects/【データ連携HUB】WE0502_オーダー情報取込(Biz-FLOW), VERSION=36
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダIN, VALUE=/WE0502
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0502
--/-- --:--:--.---|VARIABLE    |NAME=実行日時, VALUE=1729070100276
--/-- --:--:--.---|VARIABLE    |NAME=バックアップディレクトリ, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダOUT, VALUE=/backup
--/-- --:--:--.---|VARIABLE    |NAME=機能名, VALUE=オーダー情報取込(Biz-FLOW)
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名称_フィルター1, VALUE=BF_orderstatus_(19[0-9]{2}|20[0-9]{2})(0[0-9]|1[0-2])([0-2][0-9]|3[01])([0-1][0-9]|2[0-3])([0-5][0-9]).csv
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットIN, VALUE=bm-s3-datahub-if-prod
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットOUT, VALUE=bm-s3-datahub-bs-prod
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリ, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016181500_na0000mvvv000980e4pnrntip554_error
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリ, VALUE=/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502
10/16 18:15:00.303|TRY_START   |NAME=try_S3F取得
10/16 18:15:00.303|START       |NAME=S3入力Fバックアップ [amazon_s3_adapter/copy]
