10/16 23:35:00.081|EXEC_START  |
--/-- --:--:--.---|INFO        |バックアップフォルダパス(String) 入力=[/data/MERGE/app/data/WE0301/BACKUP/20241016113500_jq0000mvvv000980e461pjhkp55e_backup]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0301/ERROR/20241016113500_jq0000mvvv000980e461pjhkp55e_error
--/-- --:--:--.---|INFO        |エラーフォルダパス(String) 入力=[/data/MERGE/app/data/WE0301/ERROR/20241016113500_jq0000mvvv000980e461pjhkp55e_error]
10/16 23:35:00.161|END         |
10/16 23:35:00.161|START       |NAME=入力ファイル取得 
10/16 23:35:00.161|SCRIPT_START|SCRIPT=S3_DSCファイル移動, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=4
--/-- --:--:--.---|VARIABLE    |NAME=入力フォルダ, VALUE=/WE0301
--/-- --:--:--.---|VARIABLE    |NAME=S3バケット, VALUE=bm-s3-datahub-if-prod
--/-- --:--:--.---|VARIABLE    |NAME=ローカルフォルダパス, VALUE=/data/MERGE/app/temp/20241016113500_jq0000mvvv000980e461pjhkp55e_WE0301
10/16 23:35:00.161|START       |NAME=S3内ファイル取得 [amazon_s3_adapter/get]
10/16 23:35:01.321|END         |
10/16 23:35:01.321|SCRIPT_END  |EXIT_STATUS=0
10/16 23:35:01.321|END         |
10/16 23:35:01.321|START       |NAME=list [file_operation_adapter/list_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241016113500_jq0000mvvv000980e461pjhkp55e_WE0301]ディレクトリのファイル名一覧を取得しました。
10/16 23:35:01.323|END         |
10/16 23:35:01.323|START       |NAME=mapping 
10/16 23:35:01.325|END         |
10/16 23:35:01.325|START       |NAME=SFDCセッション取得 
10/16 23:35:01.325|SCRIPT_START|SCRIPT=セッションファイル生成, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=8
10/16 23:35:01.325|START       |NAME=セッションファイル存在確認 [file_operation_adapter/check_exist_file]
10/16 23:35:01.326|END         |
10/16 23:35:01.326|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=ファイル無し, RESULT=false
10/16 23:35:01.326|START       |NAME=セッションファイル読取1 [csv_adapter/get_data]
--/-- --:--:--.---|INFO        |[1]行のデータを抽出しました。
10/16 23:35:01.327|END         |
10/16 23:35:01.327|START       |NAME=変数代入1 
--/-- --:--:--.---|VARIABLE    |NAME=サーバURL, VALUE=https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0
--/-- --:--:--.---|INFO        |サーバURL(String) 入力=[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]
--/-- --:--:--.---|VARIABLE    |NAME=セッションID, VALUE=00D2v000002FbUv!ARcAQIlURfz1g9VPRMtamlym.ALWslD4iuvIvl.qD095JlcmStcRn7pVzRy9uCjLgELwRZJDo8XNz.5JeusgQGzkO1QiR22u
--/-- --:--:--.---|INFO        |セッションID(String) 入力=[00D2v000002FbUv!ARcAQIlURfz1g9VPRMtamlym.ALWslD4iuvIvl.qD095JlcmStcRn7pVzRy9uCjLgELwRZJDo8XNz.5JeusgQGzkO1QiR22u]
10/16 23:35:01.328|END         |
10/16 23:35:01.328|BRANCH_END  |
10/16 23:35:01.328|TRY_START   |NAME=try_catch
10/16 23:35:01.328|START       |NAME=セッションログイン [salesforce_adapter/session_id_login]
--/-- --:--:--.---|INFO        |サーバ[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]へセッションIDによる接続を開始します。
10/16 23:35:01.713|END         |
10/16 23:35:01.713|TRY_END     |
10/16 23:35:01.713|SCRIPT_END  |EXIT_STATUS=0
10/16 23:35:01.713|END         |
10/16 23:35:01.713|LOOP_START  |NAME=foreach
10/16 23:35:01.714|START       |NAME=ファイル別処理フラグ設定 
--/-- --:--:--.---|VARIABLE    |NAME=ファイル別処理フラグ, VALUE=1
--/-- --:--:--.---|INFO        |ファイル別処理フラグ(int) 入力=[1]
