10/17 05:55:00.476|EXEC_START  |
--/-- --:--:--.---|VARIABLE    |NAME=レコードNo, VALUE=300
10/17 05:55:00.531|TRY_START   |NAME=try_catch
10/17 05:55:00.531|START       |NAME=規制情報取得 [amazon_rds_postgresql_adapter/execute_select_query]
--/-- --:--:--.---|INFO        |[1]件のデータの抽出に成功しました。
10/17 05:55:00.531|END         |
10/17 05:55:00.531|BRANCH_START|NAME=結果判定
--/-- --:--:--.---|EVALUATION  |NAME=取得成功, RESULT=true
10/17 05:55:00.531|START       |NAME=結果取得2 
10/17 05:55:00.534|END         |
10/17 05:55:00.534|BRANCH_END  |
10/17 05:55:00.534|TRY_END     |
--/-- --:--:--.---|VARIABLE    |NAME=取得結果, VALUE=com.appresso.ds.xmlfw.xml.MemoryXmlData@21ccfb07
10/17 05:55:00.534|SCRIPT_END  |EXIT_STATUS=0
10/17 05:55:00.534|END         |
10/17 05:55:00.534|BRANCH_START|NAME=if_3
--/-- --:--:--.---|EVALUATION  |NAME=リトライ超過エラー, RESULT=false
10/17 05:55:00.534|BRANCH_END  |
10/17 05:55:00.534|START       |NAME=レコードタイプId取得 
10/17 05:55:00.534|SCRIPT_START|SCRIPT=com/004_レコードタイプId取得, PROJECT=【データ連携HUB】WE0203_サポートサービス等応対情報取込, REPOSITORY=/home/z098847/projects/【データ連携HUB】WE0203_サポートサービス等応対情報取込, VERSION=12
10/17 05:55:00.534|START       |NAME=SFDCセッション取得 
10/17 05:55:00.534|SCRIPT_START|SCRIPT=セッションファイル生成, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=8
10/17 05:55:00.534|START       |NAME=セッションファイル存在確認 [file_operation_adapter/check_exist_file]
10/17 05:55:00.535|END         |
10/17 05:55:00.535|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=ファイル無し, RESULT=false
10/17 05:55:00.535|START       |NAME=セッションファイル読取1 [csv_adapter/get_data]
--/-- --:--:--.---|INFO        |[1]行のデータを抽出しました。
10/17 05:55:00.537|END         |
10/17 05:55:00.537|START       |NAME=変数代入1 
--/-- --:--:--.---|VARIABLE    |NAME=サーバURL, VALUE=https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0
--/-- --:--:--.---|INFO        |サーバURL(String) 入力=[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]
--/-- --:--:--.---|VARIABLE    |NAME=セッションID, VALUE=00D2v000002FbUv!ARcAQIlURfz1g9VPRMtamlym.ALWslD4iuvIvl.qD095JlcmStcRn7pVzRy9uCjLgELwRZJDo8XNz.5JeusgQGzkO1QiR22u
--/-- --:--:--.---|INFO        |セッションID(String) 入力=[00D2v000002FbUv!ARcAQIlURfz1g9VPRMtamlym.ALWslD4iuvIvl.qD095JlcmStcRn7pVzRy9uCjLgELwRZJDo8XNz.5JeusgQGzkO1QiR22u]
10/17 05:55:00.537|END         |
10/17 05:55:00.537|BRANCH_END  |
10/17 05:55:00.537|TRY_START   |NAME=try_catch
10/17 05:55:00.537|START       |NAME=セッションログイン [salesforce_adapter/session_id_login]
--/-- --:--:--.---|INFO        |サーバ[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]へセッションIDによる接続を開始します。
10/17 05:55:00.899|END         |
10/17 05:55:00.899|TRY_END     |
10/17 05:55:00.899|SCRIPT_END  |EXIT_STATUS=0
10/17 05:55:00.899|END         |
10/17 05:55:00.899|START       |NAME=レコードタイプID取得 [salesforce_adapter/get_data_soql]
--/-- --:--:--.---|INFO        |[1]件のデータ読み取り（SOQL実行）に成功しました。
10/17 05:55:00.950|END         |
10/17 05:55:00.950|START       |NAME=レコードタイプID設定 
--/-- --:--:--.---|VARIABLE    |NAME=レコードタイプID, VALUE=0122v000002BEILAA4
--/-- --:--:--.---|INFO        |レコードタイプID(String) 入力=[0122v000002BEILAA4]
10/17 05:55:00.950|END         |
10/17 05:55:00.950|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=取得件数が1ではない場合, RESULT=false
10/17 05:55:00.950|BRANCH_END  |
10/17 05:55:00.950|SCRIPT_END  |EXIT_STATUS=0
10/17 05:55:00.950|END         |
10/17 05:55:00.950|START       |NAME=前回中間ファイル削除 [file_operation_adapter/delete_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0203300/BACKUP/*]ファイル/ディレクトリを削除しました。
--/-- --:--:--.---|INFO        |[1]件を削除しました。
10/17 05:55:00.957|END         |
10/17 05:55:00.957|START       |NAME=フォルダ作成 
10/17 05:55:00.957|SCRIPT_START|SCRIPT=一時フォルダ作成, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=6
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0203300/BACKUP
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダ名, VALUE=20241017055500_j20000mvvv000980e4tpjjs4p55o_WE0203
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダ名, VALUE=20241017055500_j20000mvvv000980e4tpjjs4p55o_error
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0203300/ERROR
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダ名, VALUE=20241017055500_j20000mvvv000980e4tpjjs4p55o_backup
10/17 05:55:00.957|START       |NAME=処理フォルダ存在確認 [file_operation_adapter/check_exist_file]
10/17 05:55:00.962|END         |
10/17 05:55:00.962|BRANCH_START|NAME=if4
--/-- --:--:--.---|EVALUATION  |NAME=処理フォルダ有り, RESULT=false
10/17 05:55:00.962|BRANCH_END  |
10/17 05:55:00.962|START       |NAME=処理フォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241017055500_j20000mvvv000980e4tpjjs4p55o_WE0203]ディレクトリを作成しました。
10/17 05:55:00.964|END         |
10/17 05:55:00.964|START       |NAME=バックアップフォルダ存在確認 [file_operation_adapter/check_exist_file]
10/17 05:55:00.965|END         |
10/17 05:55:00.965|BRANCH_START|NAME=if5
--/-- --:--:--.---|EVALUATION  |NAME=バックアップフォルダ無し, RESULT=true
10/17 05:55:00.965|START       |NAME=バックアップフォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup]ディレクトリを作成しました。
10/17 05:55:00.974|END         |
10/17 05:55:00.974|BRANCH_END  |
10/17 05:55:00.974|START       |NAME=エラーフォルダ存在確認 [file_operation_adapter/check_exist_file]
10/17 05:55:00.975|END         |
10/17 05:55:00.975|BRANCH_START|NAME=if6
--/-- --:--:--.---|EVALUATION  |NAME=エラーフォルダ無し, RESULT=true
10/17 05:55:00.975|START       |NAME=エラーフォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0203300/ERROR/20241017055500_j20000mvvv000980e4tpjjs4p55o_error]ディレクトリを作成しました。
10/17 05:55:00.983|END         |
10/17 05:55:00.983|BRANCH_END  |
10/17 05:55:00.983|START       |NAME=変数格納1 
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup
--/-- --:--:--.---|INFO        |バックアップフォルダパス(String) 入力=[/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0203300/ERROR/20241017055500_j20000mvvv000980e4tpjjs4p55o_error
--/-- --:--:--.---|INFO        |エラーフォルダパス(String) 入力=[/data/MERGE/app/data/WE0203300/ERROR/20241017055500_j20000mvvv000980e4tpjjs4p55o_error]
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダパス, VALUE=/data/MERGE/app/temp/20241017055500_j20000mvvv000980e4tpjjs4p55o_WE0203
--/-- --:--:--.---|INFO        |処理フォルダパス(String) 入力=[/data/MERGE/app/temp/20241017055500_j20000mvvv000980e4tpjjs4p55o_WE0203]
10/17 05:55:00.983|END         |
