10/17 05:51:00.441|EXEC_START  |
10/17 05:51:00.490|SCRIPT_START|SCRIPT=com/004_レコードタイプId取得, PROJECT=【データ連携HUB】WE0203_サポートサービス等応対情報取込, REPOSITORY=/home/z098847/projects/【データ連携HUB】WE0203_サポートサービス等応対情報取込, VERSION=12
10/17 05:51:00.491|START       |NAME=SFDCセッション取得 
10/17 05:51:00.491|SCRIPT_START|SCRIPT=セッションファイル生成, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=8
10/17 05:51:00.491|START       |NAME=セッションファイル存在確認 [file_operation_adapter/check_exist_file]
10/17 05:51:00.492|END         |
10/17 05:51:00.492|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=ファイル無し, RESULT=false
10/17 05:51:00.492|START       |NAME=セッションファイル読取1 [csv_adapter/get_data]
--/-- --:--:--.---|INFO        |[1]行のデータを抽出しました。
10/17 05:51:00.493|END         |
10/17 05:51:00.493|START       |NAME=変数代入1 
--/-- --:--:--.---|VARIABLE    |NAME=サーバURL, VALUE=https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0
--/-- --:--:--.---|INFO        |サーバURL(String) 入力=[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]
--/-- --:--:--.---|VARIABLE    |NAME=セッションID, VALUE=00D2v000002FbUv!ARcAQIlURfz1g9VPRMtamlym.ALWslD4iuvIvl.qD095JlcmStcRn7pVzRy9uCjLgELwRZJDo8XNz.5JeusgQGzkO1QiR22u
--/-- --:--:--.---|INFO        |セッションID(String) 入力=[00D2v000002FbUv!ARcAQIlURfz1g9VPRMtamlym.ALWslD4iuvIvl.qD095JlcmStcRn7pVzRy9uCjLgELwRZJDo8XNz.5JeusgQGzkO1QiR22u]
10/17 05:51:00.493|END         |
10/17 05:51:00.493|BRANCH_END  |
10/17 05:51:00.493|TRY_START   |NAME=try_catch
10/17 05:51:00.493|START       |NAME=セッションログイン [salesforce_adapter/session_id_login]
--/-- --:--:--.---|INFO        |サーバ[https://ntt-east-crm.my.salesforce.com/services/Soap/u/43.0]へセッションIDによる接続を開始します。
10/17 05:51:00.839|END         |
10/17 05:51:00.839|TRY_END     |
10/17 05:51:00.839|SCRIPT_END  |EXIT_STATUS=0
10/17 05:51:00.839|END         |
10/17 05:51:00.839|START       |NAME=レコードタイプID取得 [salesforce_adapter/get_data_soql]
